Data Value, Latitude, Longitude
      0.6862536, -2.55, -102.05 
      0.6027764, -2.55, -102.3 
      0.8570756, -2.55, -102.55 
      0.7721708, -2.55, -102.8 
       0.529346, -2.55, -103.05 
      0.4810951, -2.55, -103.3 
      0.1778089, -2.55, -103.55 
      0.1293372, -2.55, -103.8 
     0.04441708, -2.55, -104.05 
      0.1760794, -2.55, -104.3 
      0.6323177, -2.55, -104.55 
      0.4067327, -2.55, -104.8 
      0.4173176, -2.55, -105.05 
      0.5432816, -2.55, -105.3 
      0.8171927, -2.55, -105.55 
      0.5226965, -2.55, -105.8 
      0.4955464, -2.8, -102.05 
      0.5440671, -2.8, -102.3 
       0.696413, -2.8, -102.55 
       1.011084, -2.8, -102.8 
      0.8864053, -2.8, -103.05 
       0.916886, -2.8, -103.3 
      0.4424739, -2.8, -103.55 
      0.1247627, -2.8, -103.8 
     0.05006383, -2.8, -104.05 
     0.08271649, -2.8, -104.3 
      0.1022136, -2.8, -104.55 
      0.1197855, -2.8, -104.8 
      0.2630801, -2.8, -105.05 
      0.2893484, -2.8, -105.3 
      0.2829381, -2.8, -105.55 
       1.077346, -2.8, -105.8 
       0.523047, -3.05, -102.05 
      0.3304877, -3.05, -102.3 
      0.4382664, -3.05, -102.55 
      0.7239516, -3.05, -102.8 
      0.8658152, -3.05, -103.05 
       1.000265, -3.05, -103.3 
      0.8152916, -3.05, -103.55 
      0.3212319, -3.05, -103.8 
      0.1839056, -3.05, -104.05 
      0.1443106, -3.05, -104.3 
     0.05411891, -3.05, -104.55 
      0.1674806, -3.05, -104.8 
      0.1201124, -3.05, -105.05 
      0.1914622, -3.05, -105.3 
      0.1968095, -3.05, -105.55 
      0.4571512, -3.05, -105.8 
      0.8821658, -3.3, -102.05 
      0.4351034, -3.3, -102.3 
      0.4304245, -3.3, -102.55 
      0.7631214, -3.3, -102.8 
       1.131224, -3.3, -103.05 
       1.061129, -3.3, -103.3 
      0.9788252, -3.3, -103.55 
       0.939463, -3.3, -103.8 
      0.6433669, -3.3, -104.05 
      0.5275376, -3.3, -104.3 
      0.5231806, -3.3, -104.55 
      0.5889542, -3.3, -104.8 
      0.3480262, -3.3, -105.05 
      0.5741103, -3.3, -105.3 
      0.5324947, -3.3, -105.55 
      0.2010788, -3.3, -105.8 
      0.6532385, -3.55, -102.05 
      0.4748158, -3.55, -102.3 
      0.5859494, -3.55, -102.55 
      0.6378649, -3.55, -102.8 
        1.17971, -3.55, -103.05 
        1.32615, -3.55, -103.3 
       1.419289, -3.55, -103.55 
       2.414722, -3.55, -103.8 
       2.442513, -3.55, -104.05 
       1.888514, -3.55, -104.3 
        1.27329, -3.55, -104.55 
      0.9771709, -3.55, -104.8 
      0.9464551, -3.55, -105.05 
      0.7687982, -3.55, -105.3 
      0.4903945, -3.55, -105.55 
       0.204985, -3.55, -105.8 
       1.024431, -3.8, -102.05 
      0.9869573, -3.8, -102.3 
       1.052758, -3.8, -102.55 
       0.732297, -3.8, -102.8 
      0.9605362, -3.8, -103.05 
       1.504667, -3.8, -103.3 
       1.811256, -3.8, -103.55 
       2.729316, -3.8, -103.8 
       3.338721, -3.8, -104.05 
       2.729267, -3.8, -104.3 
       1.611406, -3.8, -104.55 
      0.8384185, -3.8, -104.8 
      0.8676801, -3.8, -105.05 
      0.5736009, -3.8, -105.3 
      0.3140834, -3.8, -105.55 
     0.07993791, -3.8, -105.8 
       1.813716, -4.05, -102.05 
       1.140188, -4.05, -102.3 
       1.369079, -4.05, -102.55 
        1.15298, -4.05, -102.8 
       1.187572, -4.05, -103.05 
       1.548584, -4.05, -103.3 
       1.668478, -4.05, -103.55 
       2.292089, -4.05, -103.8 
       2.597805, -4.05, -104.05 
       2.106012, -4.05, -104.3 
       1.336416, -4.05, -104.55 
      0.3964909, -4.05, -104.8 
      0.3202393, -4.05, -105.05 
      0.2299901, -4.05, -105.3 
      0.1471091, -4.05, -105.55 
     0.06887282, -4.05, -105.8 
       3.079759, -4.3, -102.05 
       1.439412, -4.3, -102.3 
       1.250234, -4.3, -102.55 
       1.730351, -4.3, -102.8 
       1.947996, -4.3, -103.05 
       1.911798, -4.3, -103.3 
       1.634704, -4.3, -103.55 
       1.389944, -4.3, -103.8 
       1.459488, -4.3, -104.05 
       1.038632, -4.3, -104.3 
      0.7247852, -4.3, -104.55 
      0.1216706, -4.3, -104.8 
     0.01694289, -4.3, -105.05 
    0.003360438, -4.3, -105.3 
    0.008521331, -4.3, -105.55 
     0.02042433, -4.3, -105.8 
       1.555061, -4.55, -102.05 
       1.284652, -4.55, -102.3 
       1.234496, -4.55, -102.55 
       1.258594, -4.55, -102.8 
       1.481126, -4.55, -103.05 
       1.685225, -4.55, -103.3 
       1.103696, -4.55, -103.55 
       0.924148, -4.55, -103.8 
       1.092834, -4.55, -104.05 
       1.121493, -4.55, -104.3 
      0.7176961, -4.55, -104.55 
      0.5349871, -4.55, -104.8 
      0.1270189, -4.55, -105.05 
    0.007063346, -4.55, -105.3 
      0.0122038, -4.55, -105.55 
       0.183124, -4.55, -105.8 
      0.8413217, -4.8, -102.05 
      0.9994123, -4.8, -102.3 
       1.193997, -4.8, -102.55 
       1.098305, -4.8, -102.8 
      0.8553696, -4.8, -103.05 
       1.017689, -4.8, -103.3 
       1.127676, -4.8, -103.55 
       1.376722, -4.8, -103.8 
       1.422199, -4.8, -104.05 
       1.118542, -4.8, -104.3 
       0.787102, -4.8, -104.55 
      0.6118599, -4.8, -104.8 
      0.3488314, -4.8, -105.05 
      0.1013475, -4.8, -105.3 
     0.05092778, -4.8, -105.55 
     0.01993398, -4.8, -105.8 
